Location,Time,Value
Republic of Korea,1950,47.123
Republic of Korea,1951,37.975
Republic of Korea,1952,25.542
Republic of Korea,1953,22.058
Republic of Korea,1954,17.989
Republic of Korea,1955,16.411
Republic of Korea,1956,15.201
Republic of Korea,1957,14.362
Republic of Korea,1958,14.185
Republic of Korea,1959,13.501
Republic of Korea,1960,12.967
Republic of Korea,1961,12.512
Republic of Korea,1962,12.097
Republic of Korea,1963,12.037
Republic of Korea,1964,11.75
Republic of Korea,1965,11.42
Republic of Korea,1966,11.604
Republic of Korea,1967,8.557
Republic of Korea,1968,8.547
Republic of Korea,1969,8.31
Republic of Korea,1970,8.007
Republic of Korea,1971,7.795
Republic of Korea,1972,7.564
Republic of Korea,1973,7.348
Republic of Korea,1974,7.175
Republic of Korea,1975,7.035
Republic of Korea,1976,6.941
Republic of Korea,1977,7.179
Republic of Korea,1978,7.059
Republic of Korea,1979,6.62
Republic of Korea,1980,7.312
Republic of Korea,1981,6.304
Republic of Korea,1982,6.434
Republic of Korea,1983,6.687
Republic of Korea,1984,6.148
Republic of Korea,1985,6.141
Republic of Korea,1986,6.002
Republic of Korea,1987,6.016
Republic of Korea,1988,5.781
Republic of Korea,1989,5.699
Republic of Korea,1990,5.724
Republic of Korea,1991,5.734
Republic of Korea,1992,5.565
Republic of Korea,1993,5.479
Republic of Korea,1994,5.599
Republic of Korea,1995,5.561
Republic of Korea,1996,5.44
Republic of Korea,1997,5.372
Republic of Korea,1998,5.306
Republic of Korea,1999,5.222
Republic of Korea,2000,5.118
Republic of Korea,2001,4.985
Republic of Korea,2002,5.037
Republic of Korea,2003,5.125
Republic of Korea,2004,5.123
Republic of Korea,2005,5.108
Republic of Korea,2006,5.056
Republic of Korea,2007,5.104
Republic of Korea,2008,5.07
Republic of Korea,2009,5.044
Republic of Korea,2010,5.21
Republic of Korea,2011,5.216
Republic of Korea,2012,5.384
Republic of Korea,2013,5.343
Republic of Korea,2014,5.308
Republic of Korea,2015,5.472
Republic of Korea,2016,5.534
Republic of Korea,2017,5.609
Republic of Korea,2018,5.863
Republic of Korea,2019,5.95
Republic of Korea,2020,6.119
Republic of Korea,2021,6.327
Republic of Korea,2022,7.544
Republic of Korea,2023,6.677
Republic of Korea,2024,6.921
Republic of Korea,2025,7.194
Nigeria,1950,27.513
Nigeria,1951,27.362
Nigeria,1952,27.259
Nigeria,1953,27.167
Nigeria,1954,27.041
Nigeria,1955,27.012
Nigeria,1956,26.939
Nigeria,1957,26.876
Nigeria,1958,26.734
Nigeria,1959,26.588
Nigeria,1960,26.457
Nigeria,1961,26.286
Nigeria,1962,26.165
Nigeria,1963,26.016
Nigeria,1964,25.89
Nigeria,1965,25.698
Nigeria,1966,25.598
Nigeria,1967,26.356
Nigeria,1968,25.297
Nigeria,1969,25.049
Nigeria,1970,24.206
